alpha,beta,objective,var_z,cvar_calculated,mean_unmet,median_unmet,std_unmet,min_unmet,max_unmet,p5_unmet,p25_unmet,p75_unmet,p95_unmet,total_bought,mean_bought_per_scenario,std_bought_per_scenario,total_stored,mean_stored_per_scenario,unmet_array_hash,bought_array_hash,stored_array_hash
0.85,0.8,9602.758166468873,8804.359999198241,10584.952237650734,5673.981881741455,5290.867752143666,2970.417249575875,0.0,16999.164087869336,956.4004506880719,3582.376315843662,7641.614715287538,10851.549074067487,248402911.39822495,248402.91139822494,2617.798876691635,41524592.79576754,41524.59279576753,35336216022948361,7869944884246131215,-9122653789573259335
0.85,1.0,10584.952178450825,8804.359999198241,10573.160177263728,8440.823124230525,8804.359999198241,1486.9858271948035,2714.1365212592486,16999.164087869336,5926.575569609047,7776.434659578883,8804.359999198241,10851.549074067485,248785371.21474457,248785.37121474458,2430.236610371176,70258794.42146295,70258.79442146297,6090924866015300245,7852477612499486010,-9170440354604189353
0.9,0.0,5673.972312521879,16999.164087869336,11331.004870500916,5673.972312521885,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250898359.74916965,250898.35974916967,1517.4709206896355,49168321.868521504,49168.32186852151,-2062096089024486097,1915244986206492572,-6232209666950486421
0.9,0.2,6805.378824117697,9566.38883681038,11331.004870500916,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250715741.51200804,250715.74151200804,1534.5538696566284,45812169.61671446,45812.16961671446,-6906916604276028855,327746591438258429,7426386468048653313
0.9,0.4,7936.7853357135145,9566.38883681038,11331.004870500916,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250697719.57508832,250697.7195750883,1524.6531073071758,45963005.2172919,45963.005217291895,-6277575972536549620,-6112732661551898777,6925185736536565618
0.9,0.6,9068.191847309306,9566.38883681038,11331.004870500916,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250792088.44692683,250792.08844692688,1508.6244542162374,47334328.83267354,47334.32883267354,8690283768582827093,209575769315719274,-1108538177916993542
0.9,0.8,10199.601855943647,9566.38883681038,11331.004952087898,5673.989471366604,5290.867752143666,2970.411241131597,0.0,16999.164087869336,956.4004506880719,3582.376315843662,7641.614715287538,10851.549074067487,248402903.80859977,248402.90380859977,2617.798188623889,41973486.56682959,41973.48656682959,-9021615864284252197,-6411815761569113579,-5186442341573688318
0.9,1.0,11331.00487050091,9566.38883681038,11331.004870500916,8990.068825362368,9566.38883681038,1413.4016175589195,3727.065785943555,16999.164087869336,6455.908176621412,8219.731841622666,9566.38883681038,10851.549074067485,248481716.52962786,248481.71652962785,2544.534144702115,79285361.27830158,79285.36127830159,1737616525722141700,5438647554345832458,-9014071983671186702
0.95,0.0,5673.972312521879,16999.164087869336,12515.857449452236,5673.972312521885,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250898359.74916965,250898.35974916967,1517.4709206896355,49168321.868521504,49168.32186852151,-2062096089024486097,1915244986206492572,-6232209666950486421
0.95,0.2,7042.349339907962,10859.070695998907,12515.857449452236,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250772211.99801537,250772.2119980154,1526.5409245718047,46568883.30527108,46568.883305271076,5105678928022786302,5957364546306773946,8218631864995934877
0.95,0.4,8410.726367294043,10859.070695998907,12515.857449452236,5673.972312521886,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250760313.95520407,250760.31395520412,1519.9989243680254,47308411.21453659,47308.411214536594,-3909322823933923214,949410571873858157,8630384249732575615
0.95,0.6,9779.103394680093,10859.070695998907,12515.857449452236,5673.972312521885,5290.867752143666,2970.415414742188,0.0,16999.164087869336,956.4004506880738,3582.376315843662,7641.614715287538,10851.549074067485,250855988.8452348,250855.98884523482,1481.5674156209027,48276466.25998764,48276.46625998764,-8566750750219189893,-6911093409273281427,-6177401795585071407
0.95,0.8,11147.48386840659,10851.153199228991,12515.857449452233,5673.989544224051,5290.867752143666,2970.4173642719047,0.0,16999.164087869336,956.4004506880719,3582.376315843662,7641.614715287538,10851.549074067487,248402903.73574236,248402.90373574232,2617.7983687987007,41468923.29371131,41468.923293711305,4047392881519750188,1039696384270252147,-5226298862785126443
0.95,1.0,12515.857449452238,10859.0706959989,12452.134882011724,10047.447541703363,10859.070695998897,1352.1813197719548,4635.401495276243,16999.164087869336,7658.340333310439,9208.08948704585,10859.0706959989,10859.07069599891,247721475.7860512,247721.47578605122,2593.2030421147247,91362432.19021241,91362.43219021244,-2217221375771961243,7614449813952916313,-8836409006594360482
